state,date,new_cases_jhu,new_deaths_jhu,Excess Lower Estimate,Excess Higher Estimate,mid_point_xs_deaths,corr_new_deaths,est_inf,pro_chg_est_inf,mobile_infectious,phi,population,est_inf_per_100k,new_cases_per_100k,state_id,rho,weekly_exposures,pro_chg_weekly_exposures,density_cor_exposure,psi,enc_w_inf,new_results_reported,positive_results,test_positivity_rate
Alabama,2020-10-31,9782,101,0.0,41.0,20.5,121.5,32867.0,0.1064,29705.0,0.006058306998410217,4903185,670.319394434434,199.5029761267421,AL,0.5147310508840277,1767.032795,0.005932104073813501,909.5466475168907,0.12164815616230756,5.51031282003213,106525,9278,0.6454940973685529
Alabama,2020-11-07,9905,115,56.0,118.0,87.0,202.0,37573.0,0.1432,32867.0,0.006703193944344339,4903185,766.2978247812391,202.011549635594,AL,0.5147310508840277,1822.9034425000002,0.03161834214853954,938.3050046181369,0.1218349178988083,6.289640424904283,98735,10454,0.7948599238174343
Alabama,2020-11-14,12325,164,30.0,89.0,59.5,223.5,23382.0,-0.3777,37573.0,0.007662978247812391,4903185,476.87370556077326,251.36722354959073,AL,0.5147310508840277,1749.0508650000002,-0.04051370784549936,900.2907897910677,0.06912306331487307,6.89890873887479,92295,12139,0.9736558554456998
Alabama,2020-11-21,14865,211,15.0,74.0,44.5,255.5,47647.0,1.0378,23382.0,0.004768737055607732,4903185,971.7561136281826,303.17028625271126,AL,0.5147310508840277,1811.5649050000002,0.03574169353845522,932.4687072952739,0.2185343139232376,4.446698077673613,106696,13300,0.9213158575325504
Alabama,2020-11-28,14285,115,15.0,73.0,44.0,159.0,48602.0,0.02,47647.0,0.009717561136281826,4903185,991.2332494082927,291.3412404386129,AL,0.5147310508840277,1528.493895,-0.15625772458867548,786.7632688431707,0.12965059186368896,7.645420164764446,80579,12125,1.0658170776268012
Alabama,2020-12-05,22596,305,0.0,38.0,19.0,324.0,50514.0,0.0393,48602.0,0.009912332494082928,4903185,1030.2283107816654,460.84330899201234,AL,0.5147310508840277,1769.3499975,0.1575774056330136,910.7393835948268,0.1141204568046463,9.027551585648059,112903,20061,1.2758763331409009
Alabama,2020-12-12,25252,225,72.0,139.0,105.5,330.5,48088.0,-0.048,50514.0,0.010302283107816654,4903185,980.7502674282125,515.0121808579526,AL,0.5147310508840277,1802.09735,0.01850812589158185,927.5954627608215,0.10262811198161352,9.556351066888183,121450,21672,1.2715137578718163
Alabama,2020-12-19,27063,287,26.0,87.0,56.5,343.5,49044.0,0.0199,48088.0,0.009807502674282124,4903185,1000.2477981148988,551.947356667146,AL,0.5147310508840277,1825.49021,0.012980908051387971,939.6364941718044,0.10853986897308912,9.215487429443051,130919,24895,1.3628337061463132
Alabama,2020-12-26,23554,296,0.0,62.0,31.0,327.0,75661.0,0.5427,49044.0,0.010002477981148988,4903185,1543.0990264491347,480.38162949185073,AL,0.5147310508840277,1609.77528,-0.11816822068851296,828.60132156153,0.18618323480836416,8.288066474070156,119711,18842,1.2352561406095428
Alabama,2021-01-02,26000,187,116.0,177.0,146.5,333.5,128014.0,0.6919,75661.0,0.015430990264491346,4903185,2610.833570424122,530.2675709768242,AL,0.5147310508840277,1467.5969575000001,-0.08832184483538591,755.4177242081769,0.22397431686374622,11.656843547880586,105230,22497,1.6012019678891178
Alabama,2021-01-09,29692,427,53.0,122.0,87.5,514.5,84411.0,-0.3406,128014.0,0.026108335704241224,4903185,1721.554458989412,605.5655660555333,AL,0.5147310508840277,1698.7411825,0.1574984356697944,874.3948340482009,0.07541087746314482,22.828993865384724,109911,21808,1.5165075688513914
Alabama,2021-01-16,21531,820,16.0,85.0,50.5,870.5,134264.0,0.5906,84411.0,0.01721554458989412,4903185,2738.3017365243204,439.1227334885386,AL,0.5147310508840277,1647.1174800000001,-0.03038938658332068,847.8225114098516,0.18760983110515425,14.595726249492316,110790,18433,1.213129018216124
Alabama,2021-01-23,18761,538,2.0,70.0,36.0,574.0,141029.0,0.0504,134264.0,0.027383017365243203,4903185,2876.273279511175,382.6288422729308,AL,0.5147310508840277,1574.9704075,-0.04380201981706863,810.6861729637203,0.12956749998913344,22.19903355202811,101380,15413,1.1024097826361032
Alabama,2021-01-30,16140,909,0.0,8.0,4.0,913.0,107205.0,-0.2398,141029.0,0.02876273279511175,4903185,2186.4359594834787,329.1737921371517,AL,0.5147310508840277,1654.6427274999999,0.050586550465075895,851.6959899636888,0.08925283344676252,24.49710418199376,90033,12447,0.9974100967124067
Alabama,2021-02-06,15729,947,0.0,24.0,12.0,959.0,51176.0,-0.5226,107205.0,0.021864359594834785,4903185,1043.7297389349983,320.7914855344026,AL,0.5147310508840277,1697.565395,0.025940746474528726,873.7896197127096,0.05463166232883434,19.104850455632622,5454,940,0.17235056839017235
